id,name,published_at,url,area_name,salary_from,salary_to,salary_currency,employer_name,employer_url,snippet_requirement,snippet_responsibility,address_raw,address_lat,address_lng,address_metro_station_name
77976296,Системный аналитик Hadoop (Витрины ПИК),2023-03-13T13:36:34+0300,https://hh.ru/vacancy/77976296,Москва,,,,"Иннотех, Группа компаний",https://api.hh.ru/employers/4649269,"Опыт работы с реляционными СУБД для больших данных (Teradata, Exadata, Grenplum и т.п.). Понимание работы Data Science. ",Задачи на проекте: Анализ информационной системы(ИС) для хранения и анализа больших данных и периметра её интеграции. Разработка и анализ...,,,,
78257613,IP/IT Юрист,2023-03-20T10:07:39+0300,https://hh.ru/vacancy/78257613,Москва,,,,Flocktory,https://api.hh.ru/employers/711221,"Глубокое знание законодательства в области обязательственного права и права интеллектуальной собственности, законодательства о защите персональных данных и рекламе, а также...","Осуществление юридической экспертизы договоров (правок к типовым формам и форм контрагентов), а также обеспечение процесса их согласования с внутренними и...","Москва, улица Александра Солженицына, 23Ас1",55.744363,37.663297,
78347795,Руководитель проектов,2023-03-21T11:39:44+0300,https://hh.ru/vacancy/78347795,Москва,,,,Компания БКС,https://api.hh.ru/employers/1833,"Владение Microsoft Excel на уровне уверенного пользователя (умение работать с формулами, сводными таблицами, группировка данных по различным признакам). ","Управлять скоупом проекта. Управлять рисками и проблемами проекта. Управлять заинтересованными сторонами. Формировать и управлять проектной командой (внутренние ресурсы, подрядные организации...",,,,
76446841,Руководитель отдела маркетинга (B2B),2023-03-21T10:20:38+0300,https://hh.ru/vacancy/76446841,Москва,,,,Юридическая фирма BLS,https://api.hh.ru/employers/979,"Навыки работы с CRM-маркетингом (сегментация, аналитика воронки, умение составить хорошую е-мейл коммуникацию). Личностные качества: проактивность, ответственность, внимание к...","...завтраки и т.п.). Управление CRM-коммуникациями (е-мейл, чат-боты). Ведение соц.сетей. Отчётность и аналитика баз в Битрикс24.","Москва, Краснопролетарская улица, 16с3",55.778512,37.607547,Достоевская
77338010,Программист PHP,2023-03-20T13:31:45+0300,https://hh.ru/vacancy/77338010,Москва,,,,МТС,https://api.hh.ru/employers/3776,"Опыт работы с языком программирования php от 2 лет. Знание сильных и слабых сторон языка php, понимание ООП и паттернов. ","Участие в создании систем аналитики на основе CRM Bitrix. Участие во всём процессе разработки, начиная с проектирования и заканчивая запуском...","Москва, Проектируемый проезд № 4062, 6с2",55.692962,37.65973,Технопарк
78156285,Менеджер поддержки продаж,2023-03-16T21:08:08+0300,https://hh.ru/vacancy/78156285,Москва,,,,"Иннотех, Группа компаний",https://api.hh.ru/employers/4649269,Желателен опыт работы в области Data ScienceML. Понимание принципов применения ЖЦ данных и мат. моделей. Навыки планирования и оценки...,"Анализ функциональных возможностей продуктов компании при постановке определенной функциональной задачи (или перечня требований) заказчиком. Подбор индивидуального решения, которое сможет полностью...",,,,
76467818,Руководитель отдела по работе с агентствами,2023-03-20T15:16:54+0300,https://hh.ru/vacancy/76467818,Москва,,,,МТС,https://api.hh.ru/employers/3776,"Знание системы аналитики, умение анализировать рекламные кампании в процессе и по их завершению. Опыт работы с рекламными агентствами в рамках...","Руководить командой аккаунтов: планировать загрузку, обучать, развивать, мотивировать. Выстраивать процессы и готовить регламенты по взаимодействию с агентствами в рамках Self...","Москва, Проектируемый проезд № 4062, 6с2",55.692962,37.65973,Технопарк
78054180,Эксперт MDM,2023-03-14T17:50:04+0300,https://hh.ru/vacancy/78054180,Москва,,,,Tele2,https://api.hh.ru/employers/4219,"Опыт работы в области построения Master Data Management-систем (MDM, НСИ) на роли системного-аналитика или архитектора системы. ","Развитие Master Data Management-систем и управления НСИ (MDM, НСИ) в качестве владельца систем. Построение процессов для MDMуправления НСИ. ","Новомосковский административный округ, Киевское шоссе, 22-й километр, 6с1",55.633816,37.431936,Румянцево
78079051,Старший методист (с навыками программирования),2023-03-15T11:40:56+0300,https://hh.ru/vacancy/78079051,Москва,,,,SkillFactory,https://api.hh.ru/employers/2869446,"Одноименная школа Data Science, программирования и аналитики данных SkillFactory. Школа дизайна Contented. SF Высшее образование - онлайн магистратура. Есть опыт и...","Быть методическим оунером ряда продуктов по тестированию и информационной безопасности. Анализировать учебный опыт студентов, предлагать гипотезы для экспериментов. ",,,,
77329022,Бренд - директор,2023-03-21T10:10:39+0300,https://hh.ru/vacancy/77329022,Москва,,,,Integraaal,https://api.hh.ru/employers/9553957,Аналогичный опыт работы в косметической компании. Опыт создания брендов с нуля - будет являться преимуществом. Успешный опыт формирования и развития команды. ,"Аналитика конкурентной среды и трендов на косметическом рынке. Предложение концептов бренда, торговой марки, линейки. Обоснование запуска на основе аналитических данных. ","Москва, улица Кузнецкий Мост, 3с2",55.761457,37.617222,
78048772,Архитектор КХД — Группа технологической стратегии и трансформации,2023-03-14T16:02:17+0300,https://hh.ru/vacancy/78048772,Москва,,,,Деловые Решения и Технологии (ДРТ),https://api.hh.ru/employers/2114,"Глубокие знания в области SQL и оптимизации запросов. Знание Python, либо уверенное владение другим языком. Понимание Data Governance, DMbok будет...","Установка, настройка, выполнение задач на стеке Greenplum, Сlickhouse, Kafka. Разработка и защита перед клиентами архитектурных схем КХД (On-premise, Cloud...","Москва, Лесная улица, 5сб",55.778274,37.586859,Белорусская
